lev_per;geo;2016 ;2017 ;2018 ;2019 ;2020 ;2021 ;2022 
FBAD;AT;13 ;14 ;7 ;8 ;7 ;7 ;8 
FGOOD;AT;59 ;58 ;58 ;65 ;62 ;62 ;59 
UNK;AT;7 ;6 ;10 ;7 ;5 ;7 ;7 
VBAD;AT;3 ;2 ;2 ;2 ;2 ;2 ;3 
VB_FB;AT;16 ;16 ;9 ;10 ;9 ;9 ;10 
VGOOD;AT;18 ;20 ;23 ;18 ;24 ;21 ;24 
VG_FG;AT;77 ;78 ;81 ;83 ;86 ;84 ;83 
FBAD;BE;19 ;21 ;18 ;17 ;19 ;18 ;23 
FGOOD;BE;56 ;54 ;55 ;53 ;54 ;57 ;51 
UNK;BE;12 ;14 ;13 ;13 ;11 ;10 ;9 
VBAD;BE;7 ;6 ;5 ;8 ;7 ;6 ;8 
VB_FB;BE;26 ;27 ;23 ;25 ;26 ;24 ;31 
VGOOD;BE;6 ;5 ;9 ;9 ;9 ;9 ;9 
VG_FG;BE;62 ;59 ;64 ;62 ;63 ;66 ;60 
FBAD;BG;35 ;37 ;31 ;35 ;31 ;33 ;30 
FGOOD;BG;21 ;24 ;27 ;31 ;34 ;29 ;28 
UNK;BG;7 ;11 ;13 ;8 ;15 ;12 ;13 
VBAD;BG;35 ;26 ;26 ;23 ;17 ;23 ;26 
VB_FB;BG;70 ;63 ;57 ;58 ;48 ;56 ;56 
VGOOD;BG;2 ;2 ;3 ;3 ;3 ;2 ;3 
VG_FG;BG;23 ;26 ;30 ;34 ;37 ;31 ;31 
FBAD;CY;19 ;14 ;18 ;15 ;20 ;21 ;25 
FGOOD;CY;46 ;49 ;46 ;49 ;44 ;41 ;44 
UNK;CY;12 ;15 ;15 ;17 ;16 ;15 ;12 
VBAD;CY;13 ;11 ;12 ;9 ;9 ;16 ;13 
VB_FB;CY;32 ;25 ;30 ;24 ;29 ;37 ;38 
VGOOD;CY;10 ;11 ;9 ;10 ;11 ;7 ;6 
VG_FG;CY;56 ;60 ;55 ;59 ;55 ;48 ;50 
FBAD;CZ;32 ;31 ;28 ;27 ;25 ;27 ;26 
FGOOD;CZ;44 ;44 ;46 ;46 ;50 ;45 ;52 
UNK;CZ;12 ;11 ;14 ;13 ;12 ;13 ;9 
VBAD;CZ;9 ;9 ;7 ;9 ;7 ;9 ;8 
VB_FB;CZ;41 ;40 ;35 ;36 ;32 ;36 ;34 
VGOOD;CZ;3 ;5 ;5 ;5 ;6 ;6 ;5 
VG_FG;CZ;47 ;49 ;51 ;51 ;56 ;51 ;57 
FBAD;DE;13 ;12 ;14 ;15 ;11 ;11 ;8 
FGOOD;DE;54 ;59 ;55 ;52 ;55 ;60 ;50 
UNK;DE;14 ;6 ;9 ;8 ;9 ;6 ;13 
VBAD;DE;4 ;4 ;3 ;3 ;4 ;4 ;4 
VB_FB;DE;17 ;16 ;17 ;18 ;15 ;14 ;12 
VGOOD;DE;15 ;19 ;19 ;22 ;21 ;20 ;26 
VG_FG;DE;69 ;78 ;74 ;74 ;76 ;80 ;76 
FBAD;DK;6 ;5 ;7 ;5 ;6 ;8 ;6 
FGOOD;DK;51 ;46 ;49 ;47 ;45 ;40 ;42 
UNK;DK;5 ;7 ;4 ;7 ;6 ;15 ;8 
VBAD;DK;1 ;2 ;2 ;1 ;2 ;3 ;2 
VB_FB;DK;7 ;7 ;9 ;6 ;8 ;11 ;8 
VGOOD;DK;37 ;40 ;38 ;40 ;41 ;34 ;42 
VG_FG;DK;88 ;86 ;87 ;87 ;86 ;75 ;84 
FBAD;EE;12 ;12 ;11 ;12 ;12 ;8 ;14 
FGOOD;EE;56 ;42 ;54 ;49 ;48 ;58 ;49 
UNK;EE;24 ;39 ;27 ;30 ;29 ;24 ;23 
VBAD;EE;2 ;2 ;1 ;3 ;2 ;2 ;3 
VB_FB;EE;14 ;14 ;12 ;15 ;14 ;10 ;18 
VGOOD;EE;6 ;5 ;7 ;6 ;9 ;8 ;11 
VG_FG;EE;62 ;47 ;61 ;55 ;57 ;66 ;60 
FBAD;EL;26 ;25 ;22 ;24 ;24 ;23 ;28 
FGOOD;EL;41 ;44 ;48 ;48 ;47 ;47 ;46 
UNK;EL;11 ;12 ;10 ;9 ;12 ;8 ;4 
VBAD;EL;16 ;11 ;9 ;10 ;11 ;14 ;16 
VB_FB;EL;42 ;36 ;31 ;34 ;35 ;37 ;43 
VGOOD;EL;6 ;8 ;11 ;9 ;6 ;8 ;6 
VG_FG;EL;47 ;52 ;59 ;57 ;53 ;55 ;53 
FBAD;ES;38 ;39 ;32 ;37 ;34 ;32 ;35 
FGOOD;ES;27 ;28 ;32 ;32 ;36 ;35 ;34 
UNK;ES;14 ;11 ;12 ;8 ;7 ;12 ;9 
VBAD;ES;18 ;19 ;17 ;18 ;15 ;18 ;18 
VB_FB;ES;56 ;58 ;49 ;55 ;49 ;50 ;53 
VGOOD;ES;3 ;3 ;7 ;5 ;8 ;3 ;4 
VG_FG;ES;30 ;31 ;39 ;37 ;44 ;38 ;38 
FBAD;EU27_2020;26 e;25 e;23 e;24 e;23 e;23 b;23 
FGOOD;EU27_2020;42 e;45 e;44 e;44 e;43 e;45 b;42 
UNK;EU27_2020;12 e;11 e;12 e;11 e;12 e;11 b;12 
VBAD;EU27_2020;12 e;11 e;11 e;11 e;11 e;12 b;12 
VB_FB;EU27_2020;38 e;36 e;34 e;35 e;34 e;35 b;35 
VGOOD;EU27_2020;8 e;9 e;10 e;10 e;11 e;9 b;11 
VG_FG;EU27_2020;50 e;54 e;54 e;54 e;54 e;54 b;53 
FBAD;EU28;24 ;23 ;22 ;22 ;: ;: ;: 
FGOOD;EU28;43 ;44 ;45 ;44 ;: ;: ;: 
UNK;EU28;12 ;11 ;12 ;11 ;: ;: ;: 
VBAD;EU28;12 ;11 ;10 ;11 ;: ;: ;: 
VB_FB;EU28;36 ;34 ;32 ;33 ;: ;: ;: 
VGOOD;EU28;9 ;11 ;11 ;12 ;: ;: ;: 
VG_FG;EU28;52 ;55 ;56 ;56 ;: ;: ;: 
FBAD;FI;10 ;11 ;9 ;9 ;7 ;11 ;7 
FGOOD;FI;65 ;62 ;65 ;62 ;61 ;57 ;60 
UNK;FI;8 ;6 ;8 ;7 ;8 ;4 ;4 
VBAD;FI;2 ;2 ;1 ;1 ;1 ;2 ;2 
VB_FB;FI;12 ;13 ;10 ;10 ;8 ;13 ;8 
VGOOD;FI;15 ;19 ;17 ;21 ;23 ;26 ;29 
VG_FG;FI;80 ;81 ;82 ;83 ;84 ;83 ;88 
FBAD;FR;29 ;26 ;23 ;23 ;22 ;21 ;21 
FGOOD;FR;49 ;50 ;52 ;53 ;51 ;52 ;52 
UNK;FR;7 ;10 ;11 ;10 ;13 ;14 ;15 
VBAD;FR;10 ;11 ;8 ;8 ;9 ;8 ;9 
VB_FB;FR;39 ;37 ;31 ;31 ;31 ;29 ;29 
VGOOD;FR;5 ;3 ;6 ;6 ;5 ;5 ;4 
VG_FG;FR;54 ;53 ;58 ;59 ;56 ;57 ;56 
FBAD;HR;38 ;35 ;34 ;34 ;37 ;35 ;38 
FGOOD;HR;21 ;24 ;17 ;14 ;17 ;13 ;15 
UNK;HR;6 ;6 ;8 ;6 ;8 ;4 ;5 
VBAD;HR;28 ;27 ;35 ;42 ;31 ;43 ;36 
VB_FB;HR;66 ;62 ;69 ;76 ;68 ;79 ;75 
VGOOD;HR;7 ;8 ;6 ;4 ;7 ;4 ;5 
VG_FG;HR;28 ;32 ;23 ;18 ;24 ;17 ;21 
FBAD;HU;22 ;21 ;22 ;21 ;24 ;24 ;24 
FGOOD;HU;44 ;43 ;42 ;37 ;42 ;35 ;35 
UNK;HU;18 ;24 ;22 ;24 ;18 ;22 ;21 
VBAD;HU;11 ;7 ;8 ;12 ;10 ;13 ;12 
VB_FB;HU;33 ;28 ;30 ;33 ;34 ;37 ;36 
VGOOD;HU;5 ;5 ;6 ;6 ;6 ;5 ;8 
VG_FG;HU;49 ;48 ;48 ;43 ;48 ;41 ;43 
FBAD;IE;13 ;11 ;12 ;10 ;12 ;15 ;14 
FGOOD;IE;55 ;51 ;55 ;55 ;49 ;59 ;56 
UNK;IE;5 ;7 ;6 ;9 ;5 ;9 ;9 
VBAD;IE;7 ;8 ;7 ;7 ;9 ;3 ;4 
VB_FB;IE;20 ;19 ;19 ;19 ;21 ;18 ;18 
VGOOD;IE;20 ;23 ;20 ;19 ;25 ;14 ;17 
VG_FG;IE;75 ;74 ;75 ;74 ;74 ;73 ;73 
FBAD;IT;36 ;38 ;32 ;29 ;37 ;38 ;34 
FGOOD;IT;23 ;30 ;29 ;34 ;26 ;32 ;34 
UNK;IT;14 ;11 ;15 ;17 ;15 ;12 ;13 
VBAD;IT;25 ;19 ;21 ;17 ;17 ;16 ;16 
VB_FB;IT;61 ;57 ;53 ;46 ;54 ;54 ;50 
VGOOD;IT;2 ;2 ;3 ;3 ;5 ;2 ;3 
VG_FG;IT;25 ;32 ;32 ;37 ;31 ;34 ;37 
FBAD;LT;28 ;25 ;22 ;21 ;26 ;25 ;21 
FGOOD;LT;47 ;49 ;48 ;47 ;49 ;52 ;50 
UNK;LT;13 ;16 ;21 ;24 ;15 ;13 ;20 
VBAD;LT;10 ;7 ;7 ;6 ;7 ;8 ;7 
VB_FB;LT;38 ;32 ;29 ;27 ;33 ;32 ;28 
VGOOD;LT;2 ;3 ;2 ;2 ;3 ;3 ;3 
VG_FG;LT;49 ;52 ;50 ;49 ;52 ;55 ;52 
FBAD;LU;6 ;7 ;7 ;8 ;7 ;6 ;6 
FGOOD;LU;61 ;57 ;56 ;51 ;61 ;59 ;63 
UNK;LU;19 ;19 ;20 ;20 ;17 ;15 ;14 
VBAD;LU;2 ;2 ;2 ;2 ;2 ;2 ;3 
VB_FB;LU;8 ;9 ;9 ;10 ;9 ;8 ;9 
VGOOD;LU;12 ;15 ;15 ;19 ;13 ;18 ;15 
VG_FG;LU;73 ;72 ;71 ;70 ;74 ;77 ;77 
FBAD;LV;38 ;36 ;34 ;35 ;31 ;30 ;28 
FGOOD;LV;40 ;46 ;45 ;43 ;43 ;54 ;50 
UNK;LV;12 ;8 ;12 ;13 ;16 ;9 ;11 
VBAD;LV;8 ;7 ;7 ;7 ;8 ;6 ;8 
VB_FB;LV;46 ;43 ;41 ;42 ;39 ;35 ;37 
VGOOD;LV;2 ;3 ;2 ;2 ;2 ;3 ;3 
VG_FG;LV;42 ;49 ;47 ;45 ;45 ;56 ;53 
FBAD;MT;22 ;23 ;18 ;18 ;20 ;18 ;20 
FGOOD;MT;39 ;42 ;37 ;42 ;40 ;48 ;47 
UNK;MT;25 ;19 ;28 ;19 ;17 ;4 ;4 
VBAD;MT;9 ;8 ;9 ;7 ;11 ;9 ;9 
VB_FB;MT;31 ;31 ;27 ;25 ;31 ;27 ;29 
VGOOD;MT;5 ;8 ;8 ;14 ;12 ;21 ;20 
VG_FG;MT;44 ;50 ;45 ;56 ;52 ;69 ;67 
FBAD;NL;9 ;8 ;7 ;11 ;7 ;8 ;10 
FGOOD;NL;56 ;51 ;54 ;51 ;50 ;52 ;53 
UNK;NL;16 ;12 ;11 ;14 ;13 ;12 ;9 
VBAD;NL;3 ;4 ;3 ;4 ;3 ;3 ;4 
VB_FB;NL;12 ;12 ;10 ;15 ;10 ;12 ;14 
VGOOD;NL;16 ;25 ;25 ;20 ;27 ;25 ;24 
VG_FG;NL;72 ;76 ;79 ;71 ;77 ;77 ;77 
FBAD;PL;32 ;26 ;29 ;30 ;31 ;33 ;34 
FGOOD;PL;40 ;45 ;37 ;35 ;29 ;27 ;21 
UNK;PL;11 ;13 ;13 ;11 ;11 ;12 ;12 
VBAD;PL;12 ;11 ;16 ;20 ;24 ;26 ;30 
VB_FB;PL;44 ;37 ;45 ;50 ;55 ;59 ;64 
VGOOD;PL;5 ;5 ;5 ;4 ;5 ;2 ;3 
VG_FG;PL;45 ;50 ;42 ;39 ;34 ;30 ;24 
FBAD;PT;31 ;30 ;32 ;33 ;34 ;33 ;37 
FGOOD;PT;31 ;40 ;48 ;40 ;39 ;46 ;41 
UNK;PT;23 ;14 ;7 ;12 ;11 ;10 ;10 
VBAD;PT;13 ;14 ;11 ;13 ;15 ;9 ;7 
VB_FB;PT;44 ;44 ;43 ;46 ;49 ;43 ;43 
VGOOD;PT;2 ;2 ;2 ;2 ;1 ;2 ;7 
VG_FG;PT;33 ;42 ;50 ;42 ;40 ;48 ;47 
FBAD;RO;23 ;19 ;24 ;27 ;28 ;24 ;24 
FGOOD;RO;43 ;43 ;42 ;36 ;33 ;45 ;43 
UNK;RO;11 ;15 ;14 ;16 ;18 ;11 ;13 
VBAD;RO;15 ;16 ;15 ;17 ;17 ;14 ;15 
VB_FB;RO;38 ;35 ;39 ;44 ;45 ;38 ;39 
VGOOD;RO;8 ;7 ;5 ;4 ;4 ;6 ;6 
VG_FG;RO;51 ;50 ;47 ;40 ;37 ;51 ;48 
FBAD;SE;10 ;12 ;11 ;10 ;8 ;13 ;13 
FGOOD;SE;53 ;51 ;53 ;50 ;52 ;49 ;50 
UNK;SE;9 ;10 ;11 ;8 ;7 ;12 ;10 
VBAD;SE;4 ;6 ;3 ;3 ;4 ;4 ;4 
VB_FB;SE;14 ;18 ;14 ;13 ;12 ;17 ;16 
VGOOD;SE;24 ;21 ;22 ;29 ;29 ;22 ;24 
VG_FG;SE;77 ;72 ;75 ;79 ;81 ;71 ;74 
FBAD;SI;32 ;30 ;32 ;28 ;31 ;25 ;28 
FGOOD;SI;27 ;34 ;31 ;37 ;39 ;44 ;45 
UNK;SI;6 ;14 ;13 ;14 ;12 ;11 ;8 
VBAD;SI;32 ;21 ;22 ;19 ;15 ;17 ;15 
VB_FB;SI;64 ;51 ;54 ;47 ;46 ;43 ;43 
VGOOD;SI;3 ;1 ;2 ;2 ;3 ;3 ;4 
VG_FG;SI;30 ;35 ;33 ;39 ;42 ;47 ;49 
FBAD;SK;36 ;35 ;39 ;36 ;38 ;41 ;46 
FGOOD;SK;19 ;21 ;26 ;25 ;24 ;27 ;24 
UNK;SK;18 ;18 ;13 ;12 ;10 ;7 ;8 
VBAD;SK;25 ;24 ;19 ;24 ;26 ;24 ;22 
VB_FB;SK;61 ;59 ;58 ;60 ;64 ;65 ;67 
VGOOD;SK;2 ;2 ;3 ;3 ;2 ;1 ;1 
VG_FG;SK;21 ;23 ;29 ;28 ;26 ;28 ;25 
FBAD;UK;12 ;11 ;13 ;10 ;12 ;: ;: 
FGOOD;UK;52 ;45 ;48 ;49 ;54 ;: ;: 
UNK;UK;12 ;13 ;12 ;11 ;8 ;: ;: 
VBAD;UK;6 ;5 ;7 ;9 ;9 ;: ;: 
VB_FB;UK;18 ;16 ;20 ;19 ;21 ;: ;: 
VGOOD;UK;18 ;26 ;20 ;21 ;17 ;: ;: 
VG_FG;UK;70 ;71 ;68 ;68 ;71 ;: ;: 
